,name,slug,mc,sector,category,tagline,desc
MLITE,Melite,melite,,,,,
PRG,Paragon,paragon-1,,,,,
CTO,Crypto,crypto,,,,,
FANS,Fantasy Cash,fantasy-cash,,,,,
BTCL,Bitcoin Lite,bitcoin-lite,,,,A Bitcoin-branded ERC-20 token,"Bitcoin Lite is a Bitcoin-branded ERC-20 compliant token with similar supply constraints.
"
WGM,WGM,wgm,,,,,
DOTA,DOTA,dota,,,,,
TRUX,TreauxCoin,treauxcoin,,,,,
NYC,NewYorkCoin,newyorkcoin,,,,,
TECH,TechCoin,techcoin,,,,,
RUBYC,RubyChain,rubychain,,,,,
ZONTO,ZONTO,zonto,,,,,
DRA,DraculaCoin,draculacoin,,,,,
EMD,Emerald Crypto,emerald-crypto,,,,,
WLO,Wollo,wollo,,,,,
8BT,The8CircuitStudiosToken,the8circuitstudiostoken,,,,,
PDG,PinkDogCoin,pinkdogcoin,,,,,
VEC,Vector,vector,,,,,
ABY,ArtByte,artbyte,,,,,
TLEX,Tattoolex,tattoolex,,,,,
MND,MindCoin,mindcoin,,,,,
AUR,Auroracoin,auroracoin,,,,,
ICOO,ICO OpenLedger,ico-openledger,,,,,
ADH,AdHive,adhive,,,,,
RONIN,RONIN,ronin,,,,,
PRN,Protean,protean,,,,,
SGD,Singapore Dollar,singapore-dollar,,,,,
VEGA,VEGA,vega,,,,,
ARION,Arion,arion,,,,,
BEE,Bee Token,bee-token-1,,,,,
NXCT,NXCT,nxct,,,,,
ARG,Argentum,argentum,,,,,
LDCN,LandCoin,landcoin-1,,,,,
"CRB, VRD",Veridium ,veridium,,,,Automating the world’s carbon markets,"
Veridium is a blockchain based platform for automating the world's carbon markets"
ASCS,ASCS,ascs,,,,,
NTWK,Network Token,network-token,,,,,
BGG,Bgogo,bgogo,,,,Cryptocurrency exchange,
BTCRY,BitCrystal,bitcrystal,,,,,
MRQ,MIRQ,mirq,,,,,
LNK,EthereumLink,ethereumlink,,,,,
HAWK,HAWK,hawk,,,,,
FF,Forefront,forefront,,Content creation and distribution,Media and Entertainment,Home of Social Tokens,"Forefront was built to curate how people discover, engage, and interact with the best communities of tomorrow. Now we want to open its evolution to the very contributors making it valuable."
GRE,Greencoin,greencoin,,,,,
NIHL,Nihilo Coin,nihilo-coin,,,,,
BRAT,BROTHER,brother,,,,,
SPX,Sp8de,sp8de-1,,,,,
CIT,CariNet,carinet,,,,,
FCASH,Future Cash,future-cash,,,,,
DKKT,DKKT,dkkt,,,,,
CMS,COMSA [ETH],comsa-eth,,,,,
SNBL,Snowball,snowball,,,,,
HYP,HyperStake,hyperstake,,,,,
DADI,Dadi,dadi,,,,Cloud computing services,
SEEDS,SeedShares,seedshares,,,,,
FXE,FuturXe,futurxe,,,,,
TOKC,TOKYO,tokyo,,,,,
KRWB,KRWb,krwb,,,,,
KREDS,KREDS,kreds,,,,,
BDK,BDK,bdk,,,,,
BAY,BitBay,bitbay,,,,,
MCASH,MCashChain,mcashchain,,Payment Platform,Infrastructure,A decentralized social e-payment platform,"MCashChain is a decentralized, social e-payment platform designed to enable fast transaction confirmation and easy application development."
ACCHAIN,ACChain,acchain,,,,,
USCA,USCA,usca,,,,,
FIND,FindCoin,findcoin,,,,,
ROS,ROS Coin,ros-coin,,,,,
CDC,Commerce Data Connection,commerce-data-connection,,,,,
DBET,DecentBet,decentbet,,,,,
DATAX,Data eXchange,data-exchange,,,,,
TLX,TLX,tlx,,,,,
MTNE,Motion One,motion-one,,,,,
CBX,Bullion,bullion,,,,,
GZE,GazeCoin,gazecoin,,,,,
PCM,Procom,procom,,,,,
RICHX,RichCoin,richcoin,,,,,
TIOX,Trade Token X,trade-token-x,,,,Native token for trading platform trade.io,Trade Token is the native utility token for the digital asset trading and investment platform trade.io. 
BTBC,Bitbase,bitbase-1,,,,,
EBTC,eBitcoin,ebitcoin,,,,"A Bitcoin-branded, community-focused ERC-20 token","eBitcoin is a tokenized version of Bitcoin on the Ethereum blockchain focused on lower transaction fees, higher transaction speed, and smart contract development.
"
PHOON,PHOON,phoon,,Asset Management,Financial,,
NDAU,Ndau,ndau,,,,,
VES,Venezuelan Bolivar Soberano,venezuelan-bolivar-soberano,,,,,
LTH,Lathaan,lathaan,,,,,
VVI,VV Coin,vv-coin,,,,,
XRY,Royalties,royalties,,,,,
COR,CORION,corion-1,,,,,
PCOIN,Pioneer Coin,pioneer-coin,,,,,
TOKEN,Swap,swap,,,,,
CHE,Crypto Harbor Exchange,crypto-harbor-exchange,,,,,
ALTC,Antilite,antilite,,,,,
ENT,Eternity,eternity,,,,,
FT,Fabric Token,fabric-token-1,,,,,
KRAK,Kraken,kraken,,,,,
SPACE,SpaceCoin,spacecoin,,,,,
BIOS,BiosCrypto,bioscrypto,,,,,
EVA,EVA,eva,,,,,
ZDR,Zloadr,zloadr-1,,,,,
PRES,President Trump,president-trump,,,,,
SEL,Selencoin,selencoin,,,,,
18T,18T,18t,,,,,
XOC,Xone,xone,,,,,
CLT,CryptoLottoToken,cryptolottotoken,,,,,
GLO,Gkobus,gkobus,,,,,
FLASH,Flash,flash,,,,,
LIMBO,LIMBO,limbo,,,,,
POD,POD,pod,,Payment Platforms,Financial,,
ERA,ERA,era,,,,,
ROAD,Yellow Road,yellow-road,,,,,
TORQ,TORQ,torq,,,,,
NDOGE,NinjaDoge,ninjadoge,,,,,
ECIO,ECOMCASH,ecomcash,,,,,
SRNT,Serenity,serenity,,,,,
TDT,TDT,tdt,,,,,
GODZ,Godzillion,godzillion-1,,,,,
TRUMP,TrumpCoin,trumpcoin,,,,,
SPANK,SpankChain,spankchain,,,,Blockchain based economic and technological infrastructure for the adult entertainment industry.,"A decentralized adult entertainment platform with integrated payments and self-sovereign identity, powered by blockchain technology."
SUNC,SunChain,sunchain,,,,,
KREX,Kronn,kronn,,,,,
PXC,Pixie Coin,pixie-coin,,,,,
TKR,CryptoInsight,cryptoinsight,,,,,
TIDE,TIDE,tide,,,,,
HVCO,High Voltage,high-voltage,,,,,
NIC,NewInvestCoin,newinvestcoin,,,,,
PPBLZ,Pepemon Pepeballs,pepemon-pepeballs,,Gaming,Media and Entertainment,Digital collectible card game on Blockchain,
SCOT,ScotCoin,scotcoin,,,,,
MEV,MEV,mev,,,,,
BCO,Bitcoin Ore,bitcoin-ore,,,,A Bitcoin fork focused on reducing mining energy consumption,"Bitcoin Ore is a Bitcoin fork focused on decentralizing mining and reducing mining energy consumption.
"
OC,OceanChain,oceanchain,,,,,
SIRX,Sirius,sirius,,,,,
BCM,BitcoinMetal,bitcoinmetal,,,,,
ALEX,Alexandrite,alexandrite,,,,,
BITUSD,BitUSD,bitusd,,,,A SmartCoin stablecoin built on the BitShares exchange platform,"BitUSD is a dollar-pegged stablecoin built on the BitShares DEX platform convertible to dollars at a set exchange fee.
"
SAC,Smart Application Chain,smart-application-chain,,,,,
TIGER,TigerCoin,tigercoin,,,,,
KKG,KKG,kkg,,,,,
PIS,PIS Token,pis-token,,Decentralized Exchanges,Financial,,
YETI,Yearn Ecosystem Token Index,yearn-ecosystem-token-index,,Asset Management,Financial,,"Yearn Ecosystem Token Index (YETI) is a PowerPool index consisting of Yearn ecosystem projects: YFI, SUSHI, CREAM, AKRO, COVER, KP3R, CVP, PICKLE. Its current weights of tokens are: YFI 35%, SUSHI 17%, other tokens 8% each. The index will serve two purposes. For investors it is a passive vehicle for broad exposure to the Yearn ecosystem - like an index on the Yearn conglomerate of protocols. For Yearn it potentially a way of formalizing its recent mergers, aligning the treasuries and governance systems of the protocols in its ecosystem."
GAM,Gambit,gambit,,,,,
EOSISH,EOSISH,eosish,,,,,
SPD,SPINDLE,spindle-1,,,,,
BIG,BigONE Token,bigone-token,,,,,
DPY,Delphy,delphy,,,,,
DSHET,DSHET,dshet,,,,,
JAPAN,JapanCoin,japancoin,,,,,
NOKU,Noku,noku-1,,,,,
TOOL,TOOL,tool,,,,,
POE,Po.et,poet,,Content Creation and Distribution,Media and Entertainment,Content ownership & intellectual property registration,"Po.et is building a decentralized protocol for ownership, discovery, and monetization for content. The project focuses on enabling attribution, discovery, monetization, and reputation for creators. "
WBL,WIZBL,wizbl,,,,,
BOD,Blood,blood,,,,,
INDIA,IndiaCoin,indiacoin,,,,,
BCB,Bitcoin Boy,bitcoin-boy,,,,A child of Bitcoin,"Bitcoin Boy is a Bitcoin fork focused on privacy and smart contracts. 
"
WEED,Weed,weed,,,,,
ARB,ARBITRAGE,arbitrage,,,,,
TOSC,TOS,tos,,,,,
GRANT,Grant Coin,grant-coin,,,,,
COXST,Coexist,coexist,,,,,
TSL,Energo,energo,,,,,
SLAM,SLAM Games,slam-games,,,,,
MESG,MESG,mesg,,,,,
TMT,TRAXIA,traxia-1,,,,,
KARMC,Karmaclassic,karmaclassic,,,,,
AC3,AC3,ac3,,,,,
GAIN,UGAIN,ugain,,,,,
JOINT,Joint Ventures,joint-ventures,,,,,
ZCH,Zero Chain,zero-chain,,,,,
BFI,BitFinTech,bitfintech,,,,,
IHT,IHT Real Estate Protocol,iht-real-estate-protocol,,,,,
CRED,Street Cred,street-cred,,,,,
EXCC,ExchangeCoin,exchangecoin,,,,,
COLR,Color,color,,,,,
PXL,Phalanx,phalanx,,,,,
XAS,Asch,asch,,Application Development,Infrastructure,,
ENTER,EnterCoin (ENTER),entercoin-enter,,,,,
HLD,HLD,hld,,,,,
BSTAR,Blackstar,blackstar,,,,,
BCST,BlockChain Store,blockchain-store,,,,,
LGBTQ,LGBTQoin,lgbtqoin,,,,,
UCASH,UNIVERSAL CASH,universal-cash,,,,,
STALIN,StalinCoin,stalincoin,,,,,
TIA,Tianhe,tianhe,,,,,
GML,GameLeagueCoin,gameleaguecoin,,,,,
MAZE,MAZE,maze,,,,,
UTOUR,UTour,utour,,,,,
FNDG,FoundGame,foundgame,,,,,
FIST,FistBump,fistbump,,,,,
ACS,ACryptoS,acryptos,,,,,
ORI,Bitcoin Origin,bitcoin-origin,,,,A Bitcoin-branded ERC-20 compliant token for sidechains and smart contracts,"Bitcoin Origin is a Bitcoin-branded ERC-20 token that focuses on sidechain and smart contract development.
"
ASSY,PowerPool ASSY Index,powerpool-assy-index,,Asset Management,Financial,,
MYSTIC,MYSTIC,mystic,,,,,
EROWAN,Sifchain,sifchain,,Decentralized Exchanges,Financial,,
MMXVI,MMXVI,mmxvi,,,,,
GSY,GenesysCoin,genesyscoin,,,,,
VGS,LasVegasCoin,lasvegascoin,,,,,
GMB,Gambleo,gambleo,,,,,
LIMX,LimeCoinX,limecoinx,,,,,
DGC,Digitalcoin,digitalcoin,,,,,
JULIEN,Julien,julien,,,,,
TENNET,Tennet,tennet,,,,,
JNT,Jibrel Network,jibrel-network,,Tokenization,Financial,Network to trade and store traditional financial assets on the blockchain,
NODX,Nodex,nodex,,,,,
CRNK,CrankCoin,crankcoin,,,,,
TRIG,Triggers,triggers,,,,,
FREC,Freyrchain,freyrchain,,,,,
EGAME,EGAME,egame,,,,,
MAR,Marijuanacoin,marijuanacoin,,,,,
TOA,ToaCoin,toacoin,,,,,
GLQ,GLQ,glq,,Data Management,Services,,
BUT,BitUP Token,bitup-token,,,,,
CB,Cryptobyte,cryptobyte,,,,,
N/A,Decent,decent,,,,A blockchain-based approach to innovative health insurance,A decentralized protocol for efficiently operating HIPAA compliant peer-to-peer health insurance pools and disintermediating the health insurance middlemen.
SWTH,Switcheo,switcheo,,Decentralized Exchanges,Financial,Native token for the Switcheo exchange,"Switcheo is the native asset for the Switcheo exchange, a Singapore-based non-custodial digital asset trading platform. "
SHIFT,Shift,shift,,,,,
CAB,Cabbage,cabbage,,,,,
XPA,XPA,xpa,,,,,
AUTONIO,Autonio,autonio-1,,,,,
NPER,NPER,nper,,,,,
WEALTH,wealth,wealth,,,,,
INCNT,Incent,incent,,,,Loyalty program,
DBIC,DubaiCoin,dubaicoin,,,,,
PRC,PRCoin,prcoin,,,,,
CVN,CVCoin,cvcoin,,,,,
MOTO,Motocoin,motocoin,,,,,
ATMOS,Atmos,atmos,,,,,
TBTC,tBTC,tbtc,,Currencies,Payments,An ERC-20 token pegged 1:1 with BTC,"tBTC is the first application built atop the Keep Network. It serves as a trust-minimized bridge between the Bitcoin and Ethereum blockchains that allows users to mint a Bitcoin-backed token on Ethereum, called TBTC. tBTC uses Keep Network signers to facilitate the exchange and storage tasks of swapping BTC for TBTC tokens so BTC holders can access Ethereum's decentralized finance (DeFi) sector."
WET,WeShow Token,weshow-token,,,,,
BLTG,Block-Logic,block-logic,,,,,
DITTO,Ditto,ditto,,,,,
CEEK,CEEK VR,ceek-vr,,,,,
CBD,CBD Crystals,cbd-crystals,,,,,
ARGUSOLD,ARGUSOLD,argusold,,,,,
IMS,Independent Money System,independent-money-system,,,,,
PIE,PIECoin,piecoin,,,,,
EGG,EggCoin,eggcoin,,,,,
ATMI,Atonomi,atonomi-1,,,,,
SVD,savedroid,savedroid-1,,,,,
PLY,PlayCoin [QRC20],playcoin-qrc20,,,,,
404,404Coin,404coin,,,,,
MAY,Theresa May Coin,theresa-may-coin,,,,,
ATH,Atheios,atheios,,,,,
CREDIT,Credibit,credibit,,,,,
BXA,Blockchain Exchange Alliance,blockchain-exchange-alliance,,,,,
CTIC3,Coimatic 3.0,coimatic-3-0,,,,,
SCOREOLD,ScorecoinOLD,scorecoinold,,,,,
BHP,Blockchain of Hash Power,blockchain-of-hash-power,,,,,
CTX,Cryptex,cryptex,,Asset Management,Financial,,
EBTCOLD,eBTC Old,ebtc-old,,,,,
DAR,Jupiter,darcrus,,,,,
DCYP,Darkcypher,darkcypher,,,,,
MONK,Monkey Project,monkey-project,,,,,
OS76,OsmiumCoin,osmiumcoin,,,,,
CNYT,CNY Tether,cny-tether,,,,,
BTC3NX,BTC3NX,btc3nx,,,,,
SASHIMI,Sashimi,sashimi,,,,,
PNC,PlatiniumCoin,platiniumcoin,,,,,
SP,Sex Pistols,sex-pistols,,,,,
LYC,Lycancoin,lycancoin,,,,,
XOM,XOM,xom,,,,,
SEK,Swedish Krona,swedish-krona,,,,,
DCC,Distributed Credit Chain,distributed-credit-chain,,,,,
PRIV,PRiVCY,privcy,,Currencies,Payments,A hybrid Proof-of-Work Proof-of-Stake privacy currency,PRiVCY is a hybird Proof-of-Work Proof-of-Stake privacy currency optimizing for extreme base-layer security and privacy. 
SOPH,Sophos,sophos,,,,,
VAI,VAI,vai,,Asset Management,Services,,
JOK,JokerCoin,jokercoin,,,,,
DAO,DAO,dao,,,,,
XBTE,XBTE,xbte,,,,,
KRILL,Polywhale,polywhale,,,,,
PIPR,Piper,piper,,,,,
GME,GME,gme,,,,,
RHFC,RHFC,rhfc,,,,,
SOLO,Sologenic,sologenic,,Asset Management,Financial,Tokenized Securities on Demand,"Sologenic (SOLO) is introducing a sophisticated ecosystem that facilitates users with investing, trading, and on-demand tokenization of assets such as stocks, ETFs, and fiat on top of the XRP Ledger. SOLO is the native token of the Sologenic ecosystem. It is a utility token designed for market-making and provides liquidity. SOLO coins are issued on the XRP Ledger network allowing liquidity to be moved almost instantly. This creates a dynamic bridge between Crypto assets and non-blockchain-based assets."
PHO,Photon,photon,,,,,
DTCT,DetectorToken,detectortoken,,,,,
ASTR,ASTR,astr,,,,,
YAY,YAYcoin,yaycoin,,,,,
MIDNIGHT,Midnight,midnight,,,,,
MAM,Mamcoin,mamcoin,,,,,
TAC,Traceability Chain,traceability-chain,,,,,
STRAT,Stratis,stratis,,Enterprise and BaaS,Infrastructure,We make blockchain easy for you.,Stratis is a blockchain platform and consultancy for enterprise businesses.
RUBIT,Rublebit,rublebit,,,,,
EXIT,ExitCoin,exitcoin,,,,,
BWX,Blue Whale Token,blue-whale-token,,,,,
YOC,Yocoin,yocoin,,,,,
LTC3X,LTC3X,ltc3x,,,,,
CWV,CryptoWorld.VIP,cryptoworld-vip,,,,,
SENC,Sentinel Chain,sentinel-chain-1,,,,,
SHC,SHC,shc,,,,,
PICO,Pico,pico,,,,,
YOVI,YobitCoin,yobitcoin,,,,,
SAGA,SagaCoin,sagacoin,,,,,
ANTS,Ants Coin,ants-coin,,,,,
LKC,Linked,linked,,,,,
NPW,New Power Coin,new-power-coin,,,,,
TELL,Tellurion,tellurion,,,,,
TSTR,Tristar Coin,tristar-coin,,,,,
BRY,BRY,bry,,Data Management,Services,,
GEM,Gems ,gems-1,,,,,
ELIX,Elixir,elixir,,,,,
CLD,Cloud,cloud,,,,,
AT,Aware,aware-1,,,,,
GIFT,Giftcard,giftcard,,,,,
DXO,DXO,dxo,,,,,
DIVX,Divi Exchange Token,divi-exchange-token,,,,,
TON,TON Crystal,ton-crystal,,Smart Contract Platforms,Infrastructure,,"TON Crystal (TON) is the native asset for the Free TON blockchain. Free TON is a smart contract platform based on Telegram's now-defunct TON blockchain project. Its network uses a scaling technique called sharding that partitions storage and processing responsibilities to smaller validator groups. The result is a chain that has lower transaction latency and higher throughput compared to blockchains operating as a single state layer. Free TON uses Proof-of-Stake (PoS) to achieve consensus and can support application development in several high-level computer languages such as C, C++, and Solidity. Network participants can use TON Crystals to pay for transaction fees or stake to secure the network and vote on governance proposals."
BUMBA,BumbaCoin,bumbacoin,,,,,
MBCH,MBCH,mbch,,,,,
MUSK,Musk,musk,,,,,
CD,Candle,candle,,,,,
WHL,WhaleCoin,whalecoin,,,,,
OCL,Oceanlab,oceanlab,,,,,
BNS,Bonus Token,bonus-token,,,,,
TIX,Blocktix,blocktix-1,,,,,
LIZI,LiZi,lizi,,,,,
BTBCN,Bitibu Coin,bitibu-coin,,,,,
CNMC,CNMC,cnmc,,,,,
HLB,HLB,hlb,,,,,
TKS,Tokes,tokes-1,,,,,
CNO,Coin(O),coin-o,,,,,
EXTN,ExtensiveCoin,extensivecoin,,,,,
ALIS,ALIS,alis-1,,,,,
ERZ,ERZ,erz,,,,,
BASH,LuckChain,luckchain,,,,,
DES,Destiny,destiny,,,,,
XCH,Chia,chia,,Smart Contract Platforms,Infrastructure,,"Chia Network is a blockchain that supports the creation and execution of smart contracts written in a custom-designed programming language called Chialisp. The project was founded by Bram Cohen, the inventor of the BitTorrent network. Chia's blockchain relies on a novel consensus mechanism called Proof-of-Space and Time (PoST) to secure the network and reach a consensus on transaction verification. The network also features a native token, XCH, that serves to reward network participants that help secure the chain."
MUN,MUNcoin,muncoin,,,,,
IVY,Ivy,ivy,,,,,
CREAK,Creakcoin,creakcoin,,,,,
HHLC,HHLChain,hhlchain,,,,,
STEPS,Steps,steps,,,,,
BATL,Battlestars,battlestars,,,,,
CCH,CCH,cch,,,,,
ABTC,Abitchain,abitchain,,,,A ready-made blockchain for dapp development,"ABitchain is a Bitcoin fork designed to provide a ready-made blockchain platform for dapp development and fast smart contract execution. 
"
WEGEN,WeGen Platform,wegen-platform,,,,,
TRIX,Trix,trix,,,,,
MG,Mineral Gate Token,mineral-gate-token,,,,,
CNX,Cryptonex,cryptonex,,,,A peer-to-peer digital asset exchange protocol,"Cryptonex is a blockchain for peer-to-peer, decentralized cryptocurrency exchange. "
SED,Seedbit,seedbit,,,,,
SHL,Oyster Shell,oyster-shell,,,,,
PARTY,PARTY,party,,,,,
WELL,WELL,well-1,,,,,
ESP,Espers,espers,,,,,
LUXMI,Luxmi,luxmi,,,,,
ENTRC,EnterCoin,entercoin,,,,,
MNGO,Mango Markets,mango-markets,,,,,
TOS,ThingsOperatingSystem,thingsoperatingsystem,,,,,
PPY,Peerplays,peerplays-1,,,,,
WISH,MyWish,mywish-1,,,,,
ET,Exx Token,exx-token,,,,,
WAY,WayCoin,waycoin,,,,,
WGR,Wagerr,wagerr-1,,,,,
LVG,Leverage Coin,leverage-coin,,,,,
WMGO,MobileGo on WAVES,mobilego-on-waves,,,,,
AGA,AmigaCoin,amigacoin,,,,,
PDEX,Polkadex,polkadex,,,,,
WCO,Winco,winco,,,,,
2BACCO,2BACCO Coin,2bacco-coin,,,,,
POLYSHIBA,PolyShiba,polyshiba,,,,,
QRK,Quark,quark,,,,,
START,Startcoin,startcoin,,,,,
NOO,Noocoin,noocoin,,,,,
SHPING,SHPING,shping-1,,,,,
BCAP,Blockchain Capital,blockchain-capital,,,,,
OCC,Octoin Coin,octoin-coin,,,,,
LIR,LetItRide,letitride,,,,,
PCL,Peculium,peculium-1,,,,,
OXY,Oxygen,oxygen,,Asset Management,Services,,
ARY,Block Array,block-array-1,,,,,
SYNQ,BitSynq,bitsynq,,,,,
ELC,ElaCoin,elacoin,,,,,
XNX,XanaxCoin,xanaxcoin,,,,,
SWAGG,Swagg Network,swagg-network,,,,Social Money. Culture. Community.,
IOP,Internet of People,internet-of-people,,,,,
BAI,BAI,bai,,,,,
FSX,Frost,frost,,,,,
EVR,Everus,everus,,,,,
VEG,BitVegan,bitvegan,,,,,
IQT,iQuant,iquant,,,,,
YAM,Yam v3,yam,,Derivatives,Financial,,
EURET,EURET,euret,,,,,
LUC,Level Up Coin,level-up-coin,,,,,
CDCC,CDCC,cdcc,,,,,
BPTN,Bit Public Talent Network,bit-public-talent-network,,,,,
ICOS,ICOS,icos,,,,,
PCS,Pabyosi Coin (Special),pabyosi-coin-special,,,,,
MDX,MDX,mdx,,Decentralized Exchanges,Financial,,
CZECO,CZECO,czeco,,,,,
TAB,MollyCoin,mollycoin,,,,,
XJO,Joulecoin,joulecoin,,,,,
VLC,ValueChain,valuechain,,,,,
PC,Promotion Coin,promotion-coin,,,,,
SAK,Sharkcoin,sharkcoin,,,,,
HOUSING,HousingCoin,housingcoin,,,,,
UC,YouLive Coin,youlive-coin,,,,,
URUS,Urus Token,urus-token,,Lending,Financial,,
ACN,Avoncoin,avoncoin,,,,,
POWER,POWER,power,,,,,
MAS,Midas Protocol,midas-protocol-1,,,,,
NEON,Nucleon,nucleon,,,,,
EVRT,everiToken,everitoken,,,,,
YTN,YENTEN,yenten,,,,,
UND,Unification,unification,,,,,
DUO,ParallelCoin,parallelcoin,,,,,
FST,Fastcoin,fastcoin,,,,,
CNNBT,CNNBT,cnnbt,,,,,
GOT,GoNetwork,gonetwork-2,,,,,
HEEL,HeelCoin,heelcoin,,,,,
CPCHAIN,CPChain,cpchain,,,,,
AMBER,AmberCoin,ambercoin,,,,,
STRP,Stripe,stripe,,,,,
TRANCE,Trancecoin,trancecoin,,,,,
MOIN,Moin,moin,,,,,
TWNKL,TWNKL,twnkl,,,,,
SOLARITE,Solarite,solarite,,,,,
WMC,WMCoin,wmcoin,,,,,
GBC,Gold Bits Coin,gold-bits-coin,,,,,
MAZA,MAZA,maza,,,,,
KAPU,KAPU,kapu-1,,,,,
GUN,Guncoin,guncoin,,,,,
EBT,EbitTreeCoin,ebittreecoin,,,,,
SCORE,Scorecoin,scorecoin,,,,,
BREW,CafeSwap Token,cafeswap-token,,,,,
WOK,Worker,worker,,,,,
RYZ,ANRYZE,anryze-1,,,,,
BOXY,BoxyCoin,boxycoin,,,,,
BLG,Bitcoin Lightning,bitcoin-lightning,,,,A Bitcoin fork focused on micro-payments,"Bitcoin Lightning is a Bitcoin fork that “pre-installs” the Lightning Network on the blockchain’s base layer.
"
COX,CobraCoin,cobracoin,,,,,
ENSA,ENSA,ensa,,,,,
HORUS,HorusPay,horuspay,,,,,
LMY,Lunch Money,lunch-money,,Services,Social Media,A decentralized application for incentivizing feedback from restaurant patrons ,"Lunch Money is the native token for Restaurant P.I., a decentralized app that rewards restaurant patrons with Lunch Money and other cryptocurrencies when they successfully submit feedback via their platform.

Lunch Money describes itself as a universal loyalty rewards program, created by Restaurant Private I Inc, a mystery shopper platform aimed at improving customer service through anonymous customer oversights and incentives. Restaurant customers and restaurant delivery service customers can earn Lunch Money (LMY) by providing real feedback on their service experience.
"
CSBTC,CSBTC,csbtc,,,,,
LIVE,Live Stars,live-stars-1,,,,,
REPUBLICOIN,Republicoin,republicoin,,,,,
MRT,Miners' Reward Token,miners-reward-token,,,,,
EMV,Ethereum Movie Venture,ethereum-movie-venture,,,,,
LOG,Woodcoin,woodcoin,,,,,
VIVO,VIVO,vivo,,,,,
BDG,BitDegree,bitdegree-1,,,,,
EAI,EAI,eai,,,,,
ATMC,ATMCoin,atmcoin,,,,,
ZNY,Bitzeny,bitzeny,,,,,
XAG,Silver,xag-silver,,,,,
GP,GoldPieces,goldpieces,,,,,
RADS,Radium,radium,,,,,
TRK,Truckcoin,truckcoin,,,,,
ETT,EncryptoTel [WAVES],encryptotel-waves,,,,,
FLB,FLB,flb,,,,,
PAC,Pacnew,pacnew,,,,,
KINGN,KingN Coin,kingn-coin,,,,,
TCA,Token Card,token-card,,,,,
LKK,Lykke,lykke-1,,,,,
SMF,SmurfCoin,smurfcoin,,,,,
APX,APX,apx,,,,,
EVTX,EXVA,exva,,,,,
NMCET,NMCET,nmcet,,,,,
WCASH,WCASH,wcash,,,,,
VTAR,VTAR,vtar,,,,,
ZOI,Zoin,zoin,,,,,
VME,TrueVett,verime-1,,,,,
B3,B3 Coin,b3-coin,,,,,
ESA,E-Sport Alliance Chain,e-sport-alliance-chain,,,,,
SPORT,Sport,sport,,,,,
GUTS,GET Protocol,get-protocol,,,,,
ADD,AdderalCoin,adderalcoin,,,,,
NEOS,Donu,neoscoin,,,,,
CROP,Cropcoin,cropcoin,,,,,
BITCNY,bitCNY,bitcny,,,,,
ZENGOLD,ZenGold,zengold,,,,,
SYNC,SynCoin,syncoin,,,,,
USCB,USCB,uscb,,,,,
CURVES,CURVES,curves,,,,,
OMEGA,OMEGA,omega,,,,,
XTX,Xtock,xtock,,,,,
BTL,Bitcoin Lambo,bitcoin-lambo,,,,A “pure speculation driven” (“PSD”) Bitcoin fork,"Bitcoin Lambo is a Bitcoin fork that tokenizes the “lambo” meme common to cryptocurrency speculator communities. 
"
NR1,NR1,nr1,,,,,
GRFT,GRAFT,graft,,,,Global Real-time Authorizations and Fund Transfers,"GRAFT is a platform for processing real-time authorizations and settlements of merchant payments and fund transfers that support a variety of payment and payout methods, including cryptocurrencies, cryptographic tokens, and traditional credit cards and bank transfers."
NDC,NEVERDIE,neverdie-1,,,,,
FRT,Fortesque,fortesque,,,,,
PLNC,PLNcoin,plncoin,,,,,
SXUT,Spectre.ai Utility Token,spectre-ai-utility-token,,,,,
JBC,Japan Brand Coin,japan-brand-coin,,,,,
TAJ,TajCoin,tajcoin,,,,,
RIYA,Etheriya,etheriya,,,,,
THS,TechShares,techshares,,,,,
LLT,LLT,llt,,,,,
PMT,PMT,pmt,,,,,
MSR,Masari,masari,,,,,
NAUT,Nautilus,nautilus,,,,,
TCAP,Cryptex Total Crypto Market Cap Index,cryptex-total-crypto-market-cap-index,,Asset Management,Financial,,
XDE,XDE,xde,,,,,
GMT,Mercury Protocol,mercury-protocol-1,,,,,
Argon,Argon,argon,,Advertising,Services,,
VAC,Visa Application Chain,visa-application-chain,,,,,
GLUCK,Goodluck,goodluck,,,,,
PRIMU,Primulon,primulon,,,,,
RSGP,RSGP,rsgp,,,,,
GMCX,Gridmaster,gridmaster,,,,,
CHF,Swiss Franc,swiss-franc,,,,,
BIGUP,BigUp,bigup,,,,,
OBTC,Oil Bitcoin,oil-bitcoin,,,,A Bitcoin fork self-described as “the oil of digital currency”,"Bitcoin Oil is a Proof-of-Stake fork of Bitcoin branded as the oil of digital currencies.
"
CRPS,CryptoPennies,cryptopennies,,,,,
DX.COMM,Dollar Index Future,dollar-index-future,,,,,
SOS,Solstarter,solstarter,,,,,
DJI.INDX,Dow Jones Industrial,dow-jones-industrial,,,,,
ARC,Advanced Technology Coin,advanced-technology-coin,,,,,
IC,Ignition,ignition,,,,,
DIS,DIS,dis,,Asset Management,Financial,,
HNC,Hellenic Coin,helleniccoin,,,,,
